username,location,text
djsbu,Global,"RT @lec_catering: On Our Menu TODAY!! 😋

● Grilled 1/4 Leg : R40 
● Beef Stew : R45

LEC Catering on UberEATS 

If you are around centurion…"
L_i_A_M_K,"Los Angeles, CA","My latest estimate arrival started at 9:45. 

@UberEats, do better. https://t.co/rjN9UxoDZ7"
ChalupaBatmanGG,"Los Angeles, CA","I remember when @UberEats gave you a refund when it was an hour late but now they have a popup that says ""it happen… https://t.co/lVTxgpCVTX"
mcavoyevans,"Boston, MA",@AlecBenjamin @Postmates Never done postmates but  @UberEats sucks tbh
Uber_Support,Global,"@downeyg12 Hi there, please follow our support page: https://t.co/EDM965XLWX so our Uber Eats support team can assist you."
Uber_Support,Global,"@Chrissi_J_S Hi Christine, we are happy to help. Please follow our support page: https://t.co/VnY8MAnIWA so our Ube… https://t.co/4uF6bcgKOc"
Uber_Support,Global,"@MegPross Hi Megan, we are happy to help. Please follow our support page: https://t.co/RtQQXb2cr6 so our Uber Eats… https://t.co/UTiUlIWalg"
Uber_Support,Global,"@_DougMcCormick Hi there, please follow our support page: https://t.co/EDM965XLWX so our Uber Eats support team can assist you."
Uber_Support,Global,"@cache1337 Hi there, please follow our support page: https://t.co/EDM965XLWX so our Uber Eats support team can assist you."
DOUMEKl,VERRERDISE - he/him,listening to spotify until they give me that ad about that ubereats for booze bc i cant remember what it's called
8888_8888s,"Georgia, USA","UNACCEPTABLE @UberEats .
I ordered my food. The restaurant prepared my food. You guys couldn’t locate a driver. The… https://t.co/YiM7onrjjP"
azciscoxo,"Arizona, USA",Why doesnt in  n out ubereats
Cassannbull,"Aliquippa, PA",i feel so bad that the ubereats drivers have to deal with me honestly 😂😂 https://t.co/VoF2AaTppT
yeriflwr,australia | s/her,I ACCIDENTALLY CLICKED PLACE ORDER ON UBEREATS AND I DIDNT MEAN TO IDK WHAT I PAID WITH HELP
legacyof3,"Jacksonville, FL",RT @nomiss3005: “Saw Kawhi and Giannis together getting UberEats at the entrance” https://t.co/ZSfqKs5RnK
maddie_leaaa,caliᶠᵘᶜᵏ,@KAITGOD That’s bullshit. Did you use ubereats or DoorDash?
UberEats,,"@kezzstar24 We're sorry to hear about this, Kerryn. We’d like to help you here. Please write in through the ‘Help’… https://t.co/sV29gNZhZt"
Acegik1000,North Carolina.,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
Fightforbadser1,"New Delhi, India","RT @melbtrainchaser: @UberEats @Uber_Support 

Why do I keep getting a Internal Server Error when trying to order something? 

Been trying…"
justabluegirl_,,"RT @kingqueefy: If u have a problem with wearing a mask here’s some alternatives
1) don’t leave the fucking house 
2) use insta cart for gr…"
Fightforbadser1,"New Delhi, India",RT @darlypants: Currently involved with @Ubereats support over a tremendously botched order. They've offered me $1.08 for 3 bad drinks and…
Lino_Lauza,Next to you. ,@Insomniac2430 @Thubz_ @Kea_AM @Karabo_Mokgoko @UberEats Sometimes I wonder about their customer retention. How man… https://t.co/huKwCEazx5
Fightforbadser1,"New Delhi, India",RT @Nexilvuh: Trying to order mcdonalds on @UberEats and getting an unknown error. I never thought id almost be in the verge of angry tears…
Thankyou0141,,@tbowsan UberEATS！
GOATKeezy,🐐,RT @nomiss3005: “Saw Kawhi and Giannis together getting UberEats at the entrance” https://t.co/ZSfqKs5RnK
Fightforbadser1,"New Delhi, India",RT @OriginalBHB: Made the mistake of ordering from @UberEats @Uber_Support again.  Of course thier in-app help is unresponsive. @ShieldVoC
